indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2013-06,Córdoba,1 y 2 estrellas,8075332,
2013-06,Córdoba,3 estrellas/boutiques/aparts,15612268,
2013-06,Córdoba,4 y 5 estrellas,13534381,
2013-06,Córdoba,Para Hoteles,8895025,
2013-06,Cuyo,1 y 2 estrellas,7678134,
2013-06,Cuyo,3 estrellas/boutiques/aparts,23569132,
2013-06,Cuyo,4 y 5 estrellas,51492327,
2013-06,Cuyo,Para Hoteles,3294219,
2013-06,Litoral,1 y 2 estrellas,8268085,
2013-06,Litoral,3 estrellas/boutiques/aparts,29581236,
2013-06,Litoral,4 y 5 estrellas,61666101,
2013-06,Litoral,Para Hoteles,8287741,
2013-06,Norte,1 y 2 estrellas,11571818,
2013-06,Norte,3 estrellas/boutiques/aparts,29426333,
2013-06,Norte,4 y 5 estrellas,36499601,
2013-06,Norte,Para Hoteles,6697803,
2013-06,Patagonia,1 y 2 estrellas,14602710,
2013-06,Patagonia,3 estrellas/boutiques/aparts,29596766,
2013-06,Patagonia,4 y 5 estrellas,50675929,
2013-06,Patagonia,Para Hoteles,10688428,
2013-07,Buenos Aires,1 y 2 estrellas,5245250,
2013-07,Buenos Aires,3 estrellas/boutiques/aparts,23729100,
2013-07,Buenos Aires,4 y 5 estrellas,27195168,
2013-07,Buenos Aires,Para Hoteles,13251295,
