indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-12,Litoral,4 y 5 estrellas,3339,
2012-12,Litoral,Para Hoteles,1488,
2012-12,Norte,1 y 2 estrellas,842,
2012-12,Norte,3 estrellas/boutiques/aparts,1537,
2012-12,Norte,4 y 5 estrellas,1549,
2012-12,Norte,Para Hoteles,1181,
2012-12,Patagonia,1 y 2 estrellas,1982,
2012-12,Patagonia,3 estrellas/boutiques/aparts,2793,
2012-12,Patagonia,4 y 5 estrellas,3130,
2012-12,Patagonia,Para Hoteles,2414,
2013-01,Buenos Aires,1 y 2 estrellas,2377,
2013-01,Buenos Aires,3 estrellas/boutiques/aparts,3262,
2013-01,Buenos Aires,4 y 5 estrellas,2061,
2013-01,Buenos Aires,Para Hoteles,3794,
2013-01,CABA,1 y 2 estrellas,946,
2013-01,CABA,3 estrellas/boutiques/aparts,3728,
2013-01,CABA,4 y 5 estrellas,8522,
2013-01,CABA,Para Hoteles,1424,
2013-01,Córdoba,1 y 2 estrellas,1774,
2013-01,Córdoba,3 estrellas/boutiques/aparts,1502,
2013-01,Córdoba,4 y 5 estrellas,915,
2013-01,Córdoba,Para Hoteles,2444,
2013-01,Cuyo,1 y 2 estrellas,1012,
2013-01,Cuyo,3 estrellas/boutiques/aparts,1914,
2013-01,Cuyo,4 y 5 estrellas,2576,
2013-01,Cuyo,Para Hoteles,858,
2013-01,Litoral,1 y 2 estrellas,886,
2013-01,Litoral,3 estrellas/boutiques/aparts,1704,
2013-01,Litoral,4 y 5 estrellas,3262,
2013-01,Litoral,Para Hoteles,1574,
2013-01,Norte,1 y 2 estrellas,679,
2013-01,Norte,3 estrellas/boutiques/aparts,1957,
2013-01,Norte,4 y 5 estrellas,1673,
2013-01,Norte,Para Hoteles,1300,
2013-01,Patagonia,1 y 2 estrellas,1797,
2013-01,Patagonia,3 estrellas/boutiques/aparts,2639,
2013-01,Patagonia,4 y 5 estrellas,3172,
2013-01,Patagonia,Para Hoteles,2745,
